/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('right', 'red', None, 'left', 'left')
 -- right : 0.00
 -- None : 0.06
 -- left : -29.79

('left', 'green', 'left', 'right', 'left')
 -- forward : -0.01
 -- right : 0.35
 -- None : 0.55
 -- left : 0.45

('left', 'red', 'right', 'forward', 'left')
 -- forward : -30.00
 -- right : 0.67
 -- None : 0.40
 -- left : 0.00

('left', 'green', 'right', 'left', 'forward')
 -- forward : -0.10
 -- right : 0.95
 -- None : -3.78
 -- left : -15.01

('forward', 'red', 'right', None, 'right')
 -- forward : -7.19
 -- right : 0.66
 -- None : 1.69
 -- left : -35.43

('right', 'green', 'left', 'forward', 'forward')
 -- forward : 0.79
 -- right : 1.36
 -- None : -3.81
 -- left : 0.00

('right', 'green', 'left', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -10.09

('forward', 'green', 'forward', None, 'forward')
 -- forward : 1.44
 -- right : 1.16
 -- None : -4.48
 -- left : -20.29

('left', 'red', 'right', 'right', 'left')
 -- forward : -5.21
 -- right : 0.00
 -- None : 1.99
 -- left : 0.00

('forward', 'red', None, 'left', None)
 -- forward : -10.33
 -- right : 0.83
 -- None : 2.16
 -- left : -9.91

('left', 'green', None, 'forward', 'forward')
 -- forward : 0.33
 -- right : 0.92
 -- None : -5.07
 -- left : -18.05

('right', 'green', 'left', 'left', 'forward')
 -- forward : 0.09
 -- right : 1.56
 -- None : 0.00
 -- left : -18.86

('forward', 'green', 'left', 'forward', None)
 -- forward : 1.60
 -- right : 0.84
 -- None : -4.36
 -- left : 0.44

('right', 'green', 'right', None, 'forward')
 -- forward : 0.92
 -- right : 1.40
 -- None : -3.25
 -- left : -20.31

('right', 'red', 'right', None, 'left')
 -- forward : -9.73
 -- right : 0.85
 -- None : 2.18
 -- left : -10.23

('forward', 'green', 'left', 'left', 'right')
 -- forward : 2.09
 -- right : -0.41
 -- None : -4.74
 -- left : -10.10

('left', 'red', 'left', 'right', 'left')
 -- forward : -9.25
 -- right : 0.37
 -- None : 1.64
 -- left : -4.80

('right', 'green', 'right', None, 'left')
 -- forward : 0.11
 -- right : 2.11
 -- None : 1.20
 -- left : 0.77

('right', 'red', 'left', 'left', 'left')
 -- forward : -9.90
 -- right : 0.51
 -- None : 1.83
 -- left : -9.46

('left', 'green', 'left', None, None)
 -- forward : 0.70
 -- right : 0.77
 -- None : -4.88
 -- left : 1.88

('forward', 'green', 'right', 'right', 'forward')
 -- forward : 0.36
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', None, 'forward', 'right')
 -- forward : -38.83
 -- right : 0.68
 -- None : 2.15
 -- left : -38.23

('left', 'green', 'left', None, 'forward')
 -- forward : 0.96
 -- right : -0.08
 -- None : -4.75
 -- left : -19.15

('left', 'red', None, 'left', 'forward')
 -- forward : -10.05
 -- right : 1.13
 -- None : 2.34
 -- left : -10.12

('right', 'red', None, 'forward', None)
 -- forward : -40.04
 -- right : 1.27
 -- None : 2.18
 -- left : -39.23

('forward', 'red', 'forward', None, 'left')
 -- forward : -40.34
 -- right : -19.96
 -- None : 2.26
 -- left : -39.49

('left', 'red', 'right', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.38
 -- None : 0.00
 -- left : -19.56

('left', 'green', 'forward', 'forward', 'right')
 -- forward : 0.32
 -- right : 0.70
 -- None : -2.69
 -- left : -14.65

('left', 'red', 'right', 'left', None)
 -- forward : -9.84
 -- right : 0.07
 -- None : 1.68
 -- left : -10.35

('forward', 'green', None, None, None)
 -- forward : 1.86
 -- right : 0.73
 -- None : -5.07
 -- left : 0.95

('right', 'red', 'forward', 'right', 'left')
 -- forward : -29.83
 -- right : -15.02
 -- None : 1.91
 -- left : -37.49

('left', 'green', None, None, 'left')
 -- forward : 0.95
 -- right : 0.60
 -- None : 0.30
 -- left : 1.61

('forward', 'green', 'left', None, 'left')
 -- forward : 1.75
 -- right : 0.78
 -- None : 0.40
 -- left : 0.33

('forward', 'red', 'forward', 'right', None)
 -- forward : -30.52
 -- right : -19.60
 -- None : 2.01
 -- left : -35.03

('left', 'red', 'left', 'left', None)
 -- forward : -9.56
 -- right : 0.88
 -- None : 2.42
 -- left : -10.19

('forward', 'red', 'forward', 'left', 'forward')
 -- forward : -39.86
 -- right : -14.79
 -- None : 1.79
 -- left : -19.76

('forward', 'red', 'left', 'right', 'right')
 -- forward : 0.00
 -- right : 1.17
 -- None : 0.00
 -- left : -20.13

('right', 'green', 'left', 'left', 'left')
 -- forward : 0.64
 -- right : 2.18
 -- None : 0.87
 -- left : 0.83

('forward', 'red', 'right', 'left', 'forward')
 -- forward : -5.25
 -- right : 0.73
 -- None : 0.00
 -- left : -8.01

('forward', 'green', 'forward', None, 'left')
 -- forward : 0.99
 -- right : 0.19
 -- None : 0.12
 -- left : 0.12

('left', 'green', None, 'right', 'right')
 -- forward : 0.01
 -- right : -0.08
 -- None : -3.95
 -- left : -9.92

('left', 'green', 'forward', 'right', 'right')
 -- forward : 0.87
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'forward', 'right')
 -- forward : -20.16
 -- right : -19.28
 -- None : 2.24
 -- left : -19.57

('left', 'red', 'forward', 'left', 'forward')
 -- forward : -30.42
 -- right : -18.27
 -- None : 1.86
 -- left : -30.07

('right', 'red', 'forward', 'forward', None)
 -- forward : -39.83
 -- right : -20.41
 -- None : 1.34
 -- left : -39.88

('left', 'green', 'forward', 'right', 'forward')
 -- forward : 0.24
 -- right : 0.42
 -- None : -3.31
 -- left : 0.00

('forward', 'green', 'right', None, None)
 -- forward : 1.67
 -- right : 0.77
 -- None : -5.44
 -- left : 0.66

('forward', 'red', 'forward', 'forward', 'right')
 -- forward : -35.24
 -- right : -18.03
 -- None : 2.15
 -- left : 0.00

('forward', 'green', None, 'right', None)
 -- forward : 1.35
 -- right : 0.79
 -- None : -4.81
 -- left : 0.75

('left', 'green', 'right', None, None)
 -- forward : 0.79
 -- right : 0.67
 -- None : -4.75
 -- left : 1.40

('left', 'green', None, 'left', 'right')
 -- forward : 0.59
 -- right : 0.73
 -- None : -4.57
 -- left : -19.43

('right', 'red', 'forward', 'right', 'right')
 -- forward : -20.45
 -- right : 0.00
 -- None : 0.00
 -- left : -20.44

('left', 'red', 'forward', None, 'left')
 -- forward : -39.81
 -- right : -20.15
 -- None : 1.43
 -- left : -40.42

('forward', 'green', None, 'forward', 'right')
 -- forward : 1.98
 -- right : 0.57
 -- None : -4.83
 -- left : -20.42

('forward', 'green', 'right', 'left', 'right')
 -- forward : 1.04
 -- right : 0.11
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'forward', 'left', 'right')
 -- forward : -34.56
 -- right : -19.54
 -- None : 2.61
 -- left : 0.00

('left', 'red', 'forward', 'right', 'left')
 -- forward : -30.04
 -- right : -15.04
 -- None : 2.48
 -- left : -20.43

('right', 'red', 'left', None, 'right')
 -- forward : -8.63
 -- right : 1.70
 -- None : 1.18
 -- left : -39.62

('left', 'red', 'left', 'left', 'forward')
 -- forward : -8.68
 -- right : 0.63
 -- None : 1.80
 -- left : 0.00

('forward', 'green', 'forward', 'forward', None)
 -- forward : 2.18
 -- right : 1.21
 -- None : -4.89
 -- left : 0.78

('forward', 'green', None, 'forward', 'forward')
 -- forward : 1.92
 -- right : 0.74
 -- None : -4.58
 -- left : -20.65

('right', 'red', 'right', 'forward', 'left')
 -- forward : -34.79
 -- right : 1.28
 -- None : 0.56
 -- left : -19.97

('left', 'green', 'forward', None, 'forward')
 -- forward : 0.43
 -- right : 0.80
 -- None : -4.83
 -- left : -19.84

('right', 'green', None, 'left', None)
 -- forward : 0.76
 -- right : 2.25
 -- None : -4.71
 -- left : 1.13

('forward', 'red', 'forward', 'forward', 'forward')
 -- forward : -39.25
 -- right : -14.53
 -- None : 2.23
 -- left : -19.92

('forward', 'red', 'right', 'right', 'forward')
 -- forward : -4.54
 -- right : 0.95
 -- None : 0.00
 -- left : -5.46

('right', 'green', 'forward', 'left', 'left')
 -- forward : 1.19
 -- right : 2.15
 -- None : 0.70
 -- left : 0.94

('right', 'red', 'left', None, 'left')
 -- forward : -10.33
 -- right : 1.01
 -- None : 1.40
 -- left : -9.80

('left', 'green', None, 'forward', None)
 -- forward : 1.08
 -- right : 0.87
 -- None : -5.16
 -- left : 1.53

('forward', 'green', None, 'right', 'left')
 -- forward : 2.33
 -- right : 0.05
 -- None : 0.33
 -- left : 0.57

('forward', 'red', 'right', None, 'left')
 -- forward : -9.47
 -- right : 1.28
 -- None : 1.62
 -- left : -9.75

('forward', 'red', None, 'left', 'forward')
 -- forward : -10.22
 -- right : 0.33
 -- None : 1.89
 -- left : -10.44

('forward', 'green', None, 'right', 'right')
 -- forward : 1.15
 -- right : 0.19
 -- None : -3.88
 -- left : -9.88

('forward', 'red', 'right', 'forward', None)
 -- forward : -38.87
 -- right : 0.00
 -- None : 1.30
 -- left : -38.42

('right', 'green', 'left', 'left', 'right')
 -- forward : 1.40
 -- right : 0.00
 -- None : -3.35
 -- left : -14.75

('forward', 'red', None, 'forward', None)
 -- forward : -39.87
 -- right : 0.64
 -- None : 1.53
 -- left : -39.69

('right', 'green', 'right', 'right', None)
 -- forward : 0.46
 -- right : 1.04
 -- None : -2.11
 -- left : 0.00

('left', 'red', 'forward', 'left', None)
 -- forward : -39.75
 -- right : -19.80
 -- None : 1.95
 -- left : -40.37

('forward', 'green', 'left', 'right', None)
 -- forward : 1.37
 -- right : 0.88
 -- None : -4.90
 -- left : 0.81

('right', 'red', 'forward', None, None)
 -- forward : -39.78
 -- right : -19.69
 -- None : 1.43
 -- left : -40.05

('left', 'green', 'left', 'left', None)
 -- forward : 0.41
 -- right : 0.98
 -- None : -5.36
 -- left : 1.26

('right', 'red', 'right', None, 'forward')
 -- forward : -9.41
 -- right : 2.59
 -- None : 1.58
 -- left : -9.52

('forward', 'red', 'right', 'right', 'left')
 -- forward : -5.38
 -- right : 0.36
 -- None : 1.28
 -- left : -7.31

('forward', 'green', None, None, 'forward')
 -- forward : 1.55
 -- right : 0.75
 -- None : -5.26
 -- left : -19.50

('forward', 'red', 'forward', None, 'forward')
 -- forward : -40.01
 -- right : -19.92
 -- None : 2.22
 -- left : -38.88

('left', 'red', None, None, 'forward')
 -- forward : -10.59
 -- right : 0.35
 -- None : 2.51
 -- left : -9.76

('left', 'green', 'forward', 'forward', 'left')
 -- forward : -0.01
 -- right : 0.71
 -- None : 0.81
 -- left : 1.87

('forward', 'green', None, None, 'right')
 -- forward : 1.50
 -- right : 0.51
 -- None : -4.47
 -- left : -19.45

('forward', 'green', None, 'forward', 'left')
 -- forward : 1.20
 -- right : 0.66
 -- None : 0.49
 -- left : 0.21

('left', 'green', 'right', 'forward', 'right')
 -- forward : 0.77
 -- right : 0.42
 -- None : 0.00
 -- left : -10.17

('right', 'red', None, 'left', 'right')
 -- forward : -8.97
 -- right : 2.22
 -- None : 0.69
 -- left : -38.41

('left', 'red', None, None, 'right')
 -- forward : -10.21
 -- right : 1.26
 -- None : 1.50
 -- left : -40.03

('forward', 'red', None, 'right', 'forward')
 -- forward : -10.29
 -- right : 1.28
 -- None : 1.35
 -- left : -10.14

('forward', 'red', 'right', 'left', None)
 -- forward : -10.11
 -- right : 0.55
 -- None : 1.37
 -- left : -9.03

('right', 'green', 'right', 'left', None)
 -- forward : 0.29
 -- right : 2.02
 -- None : -4.72
 -- left : 0.58

('right', 'green', None, 'forward', 'left')
 -- forward : 0.37
 -- right : 2.43
 -- None : 0.34
 -- left : 0.83

('right', 'red', 'left', 'left', None)
 -- forward : -9.61
 -- right : 1.09
 -- None : 1.60
 -- left : -10.18

('right', 'red', 'left', None, 'forward')
 -- forward : -9.76
 -- right : 1.30
 -- None : 1.90
 -- left : -9.79

('forward', 'red', 'left', 'left', 'right')
 -- forward : 0.00
 -- right : 0.55
 -- None : 1.46
 -- left : -29.93

('right', 'green', 'left', 'right', 'left')
 -- forward : 0.45
 -- right : 2.06
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'left', 'forward', None)
 -- forward : -40.47
 -- right : 2.44
 -- None : 1.18
 -- left : -39.92

('left', 'green', 'forward', 'left', None)
 -- forward : 0.68
 -- right : 0.31
 -- None : -4.84
 -- left : 1.39

('forward', 'green', None, 'left', 'right')
 -- forward : 1.93
 -- right : 0.75
 -- None : -4.74
 -- left : -18.76

('right', 'red', 'right', 'forward', 'right')
 -- forward : -19.94
 -- right : 0.00
 -- None : 0.00
 -- left : -20.39

('left', 'red', 'left', 'forward', 'right')
 -- forward : -35.07
 -- right : 0.00
 -- None : 1.70
 -- left : -37.99

('right', 'red', 'forward', 'left', 'forward')
 -- forward : -37.40
 -- right : -19.24
 -- None : 1.56
 -- left : -35.44

('right', 'red', 'right', 'left', 'left')
 -- forward : -5.19
 -- right : 0.80
 -- None : 1.55
 -- left : -4.61

('right', 'green', 'left', 'forward', 'right')
 -- forward : 0.54
 -- right : 1.02
 -- None : -4.96
 -- left : -14.73

('left', 'green', 'left', 'right', 'right')
 -- forward : 0.52
 -- right : 0.00
 -- None : -4.88
 -- left : -9.56

('forward', 'red', 'left', None, 'left')
 -- forward : -9.89
 -- right : 0.85
 -- None : 1.33
 -- left : -10.15

('forward', 'green', 'right', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.45
 -- left : 0.51

('forward', 'green', 'right', 'right', None)
 -- forward : 1.10
 -- right : 0.43
 -- None : -4.06
 -- left : 0.40

('left', 'green', 'forward', None, 'right')
 -- forward : 0.21
 -- right : 0.35
 -- None : -4.84
 -- left : -17.93

('right', 'green', 'right', 'forward', 'left')
 -- forward : 0.45
 -- right : 0.25
 -- None : 0.70
 -- left : 0.09

('right', 'red', None, 'forward', 'forward')
 -- forward : -39.32
 -- right : 1.23
 -- None : 1.89
 -- left : -39.95

('forward', 'red', None, 'right', None)
 -- forward : -9.52
 -- right : 0.22
 -- None : 1.68
 -- left : -10.24

('forward', 'red', None, None, 'forward')
 -- forward : -10.35
 -- right : 0.98
 -- None : 2.10
 -- left : -10.13

('right', 'red', None, 'right', 'left')
 -- forward : -9.62
 -- right : 1.70
 -- None : 1.52
 -- left : -9.78

('forward', 'green', 'forward', 'left', 'left')
 -- forward : 0.79
 -- right : 0.46
 -- None : 0.32
 -- left : 0.78

('right', 'green', None, None, 'right')
 -- forward : 0.35
 -- right : 1.54
 -- None : -5.04
 -- left : -20.09

('left', 'green', 'left', 'forward', 'forward')
 -- forward : 0.18
 -- right : 0.11
 -- None : -3.78
 -- left : -18.59

('left', 'green', 'forward', None, None)
 -- forward : 1.04
 -- right : 0.97
 -- None : -5.27
 -- left : 1.98

('right', 'green', None, 'left', 'forward')
 -- forward : 0.74
 -- right : 1.45
 -- None : -4.87
 -- left : -19.45

('left', 'green', None, None, 'forward')
 -- forward : 0.06
 -- right : 1.16
 -- None : -5.35
 -- left : -20.41

('right', 'green', None, 'right', 'left')
 -- forward : 0.62
 -- right : 1.72
 -- None : 1.11
 -- left : 1.16

('right', 'green', 'left', 'forward', None)
 -- forward : 0.39
 -- right : 1.48
 -- None : -5.49
 -- left : 0.86

('right', 'green', 'forward', 'forward', 'right')
 -- forward : 0.00
 -- right : 1.19
 -- None : -3.40
 -- left : -10.09

('left', 'red', 'left', 'forward', None)
 -- forward : -40.25
 -- right : 1.46
 -- None : 1.97
 -- left : -39.59

('left', 'green', 'right', None, 'left')
 -- forward : 1.08
 -- right : 1.26
 -- None : 0.39
 -- left : 1.92

('left', 'green', 'forward', 'left', 'forward')
 -- forward : 0.24
 -- right : 0.96
 -- None : -5.01
 -- left : -15.33

('right', 'red', 'right', 'forward', None)
 -- forward : -19.50
 -- right : 2.04
 -- None : 1.24
 -- left : -19.76

('right', 'red', 'right', 'left', None)
 -- forward : -9.37
 -- right : 1.44
 -- None : 1.86
 -- left : -10.08

('forward', 'green', None, 'left', None)
 -- forward : 2.05
 -- right : 0.14
 -- None : -4.57
 -- left : 0.43

('forward', 'green', None, 'right', 'forward')
 -- forward : 1.91
 -- right : 0.90
 -- None : -4.81
 -- left : -18.32

('left', 'green', 'forward', 'left', 'right')
 -- forward : 0.38
 -- right : 0.41
 -- None : -4.62
 -- left : -9.52

('left', 'red', 'forward', 'forward', 'forward')
 -- forward : -19.64
 -- right : -17.81
 -- None : 1.63
 -- left : -29.99

('left', 'red', 'right', None, None)
 -- forward : -9.81
 -- right : 0.38
 -- None : 1.81
 -- left : -9.92

('right', 'red', 'left', 'forward', 'right')
 -- forward : -38.95
 -- right : 0.00
 -- None : 2.35
 -- left : -34.99

('left', 'green', 'right', 'right', 'left')
 -- forward : 0.00
 -- right : 0.85
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'left', 'left', None)
 -- forward : -9.75
 -- right : 1.30
 -- None : 1.85
 -- left : -10.44

('right', 'green', 'forward', 'forward', None)
 -- forward : 0.64
 -- right : 1.39
 -- None : -5.35
 -- left : 0.31

('right', 'red', 'right', 'left', 'forward')
 -- forward : -8.83
 -- right : 1.41
 -- None : 0.91
 -- left : -4.82

('forward', 'red', 'right', 'left', 'right')
 -- forward : -4.60
 -- right : 0.24
 -- None : 1.32
 -- left : 0.00

('right', 'green', None, 'left', 'right')
 -- forward : 0.53
 -- right : 1.67
 -- None : -5.06
 -- left : -18.42

('left', 'green', 'right', 'forward', None)
 -- forward : 0.37
 -- right : 0.27
 -- None : -5.05
 -- left : 1.98

('right', 'green', None, None, 'left')
 -- forward : 0.74
 -- right : 1.25
 -- None : 0.67
 -- left : 0.94

('left', 'red', None, 'left', 'left')
 -- forward : -9.56
 -- right : 1.07
 -- None : 1.96
 -- left : -10.58

('right', 'red', None, None, 'left')
 -- forward : -9.64
 -- right : 2.43
 -- None : 1.27
 -- left : -9.80

('right', 'red', None, None, None)
 -- forward : -10.35
 -- right : 2.33
 -- None : 1.20
 -- left : -9.69

('right', 'green', 'forward', None, 'left')
 -- forward : 1.21
 -- right : 2.46
 -- None : 0.49
 -- left : 0.61

('left', 'green', 'left', 'forward', 'left')
 -- forward : 0.82
 -- right : 0.02
 -- None : 0.63
 -- left : 1.86

('right', 'red', None, 'right', None)
 -- forward : -10.48
 -- right : 1.06
 -- None : 2.18
 -- left : -9.89

('left', 'red', None, 'right', 'forward')
 -- forward : -9.46
 -- right : 0.87
 -- None : 1.75
 -- left : -9.56

('left', 'green', 'left', 'right', None)
 -- forward : 1.02
 -- right : 1.04
 -- None : -4.86
 -- left : 1.39

('forward', 'red', 'forward', 'right', 'forward')
 -- forward : -20.30
 -- right : -9.86
 -- None : 0.91
 -- left : 0.00

('left', 'red', None, 'forward', 'forward')
 -- forward : -39.81
 -- right : 0.50
 -- None : 1.40
 -- left : -40.60

('right', 'red', 'left', 'left', 'forward')
 -- forward : -4.86
 -- right : 2.15
 -- None : 0.80
 -- left : -8.95

('forward', 'red', 'left', 'forward', 'left')
 -- forward : -38.34
 -- right : 0.72
 -- None : 1.32
 -- left : -30.21

('forward', 'green', 'right', None, 'forward')
 -- forward : 2.58
 -- right : 0.76
 -- None : -5.09
 -- left : -17.66

('right', 'red', 'forward', None, 'right')
 -- forward : -34.39
 -- right : -18.86
 -- None : 2.13
 -- left : -30.25

('forward', 'green', 'left', 'right', 'right')
 -- forward : 1.10
 -- right : 0.10
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'left', 'right')
 -- forward : -20.22
 -- right : -9.75
 -- None : 1.71
 -- left : -35.14

('right', 'green', 'forward', 'left', 'forward')
 -- forward : 0.93
 -- right : 1.80
 -- None : -2.56
 -- left : -19.75

('forward', 'red', 'right', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.48
 -- left : 0.00

('right', 'red', 'left', 'forward', 'forward')
 -- forward : -19.68
 -- right : 0.60
 -- None : 2.13
 -- left : -30.43

('left', 'red', 'right', None, 'right')
 -- forward : -8.72
 -- right : 1.17
 -- None : 1.56
 -- left : -38.39

('right', 'red', 'right', None, None)
 -- forward : -9.99
 -- right : 1.93
 -- None : 0.89
 -- left : -10.46

('right', 'green', 'left', None, 'left')
 -- forward : 0.18
 -- right : 1.86
 -- None : 0.96
 -- left : 0.72

('left', 'green', None, 'forward', 'right')
 -- forward : 1.26
 -- right : 0.01
 -- None : -5.02
 -- left : -19.57

('right', 'green', 'forward', 'right', 'left')
 -- forward : 0.95
 -- right : 1.79
 -- None : 0.51
 -- left : 0.52

('right', 'red', 'forward', None, 'forward')
 -- forward : -38.36
 -- right : -20.60
 -- None : 1.60
 -- left : -39.83

('right', 'red', 'left', None, None)
 -- forward : -10.54
 -- right : 1.88
 -- None : 1.07
 -- left : -9.89

('right', 'red', 'right', 'right', 'right')
 -- forward : -5.28
 -- right : 0.00
 -- None : 0.48
 -- left : 0.00

('right', 'green', 'right', 'left', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -10.50

('right', 'green', 'forward', 'forward', 'forward')
 -- forward : 0.35
 -- right : 1.91
 -- None : -4.42
 -- left : -9.74

('left', 'red', None, 'right', 'right')
 -- forward : -9.70
 -- right : 0.26
 -- None : 2.28
 -- left : -19.78

('right', 'red', None, 'left', None)
 -- forward : -9.69
 -- right : 1.34
 -- None : 1.65
 -- left : -10.35

('forward', 'green', 'right', 'forward', 'left')
 -- forward : 1.36
 -- right : 0.00
 -- None : 0.75
 -- left : 0.29

('forward', 'green', 'right', 'forward', 'forward')
 -- forward : 0.69
 -- right : 1.63
 -- None : -2.14
 -- left : 0.00

('forward', 'green', 'forward', 'forward', 'right')
 -- forward : 1.50
 -- right : 0.74
 -- None : -3.22
 -- left : -9.70

('forward', 'red', 'left', None, 'forward')
 -- forward : -9.83
 -- right : 1.32
 -- None : 1.45
 -- left : -9.35

('forward', 'green', 'left', None, 'forward')
 -- forward : 1.29
 -- right : 1.31
 -- None : -4.43
 -- left : -19.67

('right', 'red', 'left', 'right', 'forward')
 -- forward : -8.51
 -- right : 1.36
 -- None : 1.79
 -- left : -8.12

('forward', 'green', 'right', 'left', None)
 -- forward : 1.49
 -- right : 1.19
 -- None : -3.79
 -- left : 0.37

('right', 'red', 'forward', 'right', None)
 -- forward : -34.70
 -- right : -18.04
 -- None : 1.83
 -- left : -29.86

('left', 'green', None, None, None)
 -- forward : 0.27
 -- right : 0.76
 -- None : -5.35
 -- left : 2.04

('left', 'green', 'left', 'left', 'right')
 -- forward : 0.20
 -- right : 0.40
 -- None : -2.02
 -- left : -10.48

('forward', 'red', 'forward', 'forward', None)
 -- forward : -39.73
 -- right : -19.96
 -- None : 1.56
 -- left : -40.21

('forward', 'green', 'right', None, 'right')
 -- forward : 1.50
 -- right : 0.76
 -- None : 0.00
 -- left : -14.68

('forward', 'red', None, 'forward', 'right')
 -- forward : -40.21
 -- right : 0.54
 -- None : 2.18
 -- left : -38.72

('right', 'green', 'left', 'left', None)
 -- forward : 0.89
 -- right : 1.93
 -- None : -4.45
 -- left : 1.02

('forward', 'red', 'left', 'forward', 'forward')
 -- forward : -35.66
 -- right : 0.70
 -- None : 1.25
 -- left : -36.98

('left', 'green', 'forward', 'right', None)
 -- forward : 0.45
 -- right : 0.95
 -- None : -5.31
 -- left : 1.36

('right', 'red', 'left', 'right', 'left')
 -- forward : -4.58
 -- right : 1.96
 -- None : 0.73
